scenario_id,fleet_size,hotpatch_delivery_success,hotpatch_delivery_delay_h,ota_rollout_duration_days,attack_attempt_level,attack_attempt_rate_per_vehicle_day,rollback_failure_rate,effective_hotpatch_success,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_vehicle_days,exposure_reduction_fraction,ota_only_expected_attack_attempts,hotpatch_first_expected_attack_attempts,ota_only_expected_successful_attacks,hotpatch_first_expected_successful_attacks,attack_success_probability,model
FS0001,100,0.70,1,7,low,0.0100,0.00,0.700000,350.000000,107.907986,242.092014,0.691691,3.500000,1.079080,2.709000,0.835208,0.774000,uniform_ota_closed_form_expectation
FS0002,100,0.70,1,7,low,0.0100,0.01,0.693000,350.000000,110.328906,239.671094,0.684775,3.500000,1.103289,2.709000,0.853946,0.774000,uniform_ota_closed_form_expectation
FS0003,100,0.70,1,7,low,0.0100,0.05,0.665000,350.000000,120.012587,229.987413,0.657107,3.500000,1.200126,2.709000,0.928897,0.774000,uniform_ota_closed_form_expectation
FS0004,100,0.70,1,7,medium,0.0500,0.00,0.700000,350.000000,107.907986,242.092014,0.691691,17.500000,5.395399,13.545000,4.176039,0.774000,uniform_ota_closed_form_expectation
FS0005,100,0.70,1,7,medium,0.0500,0.01,0.693000,350.000000,110.328906,239.671094,0.684775,17.500000,5.516445,13.545000,4.269729,0.774000,uniform_ota_closed_form_expectation
FS0006,100,0.70,1,7,medium,0.0500,0.05,0.665000,350.000000,120.012587,229.987413,0.657107,17.500000,6.000629,13.545000,4.644487,0.774000,uniform_ota_closed_form_expectation
FS0007,100,0.70,1,7,high,0.2000,0.00,0.700000,350.000000,107.907986,242.092014,0.691691,70.000000,21.581597,54.180000,16.704156,0.774000,uniform_ota_closed_form_expectation
FS0008,100,0.70,1,7,high,0.2000,0.01,0.693000,350.000000,110.328906,239.671094,0.684775,70.000000,22.065781,54.180000,17.078915,0.774000,uniform_ota_closed_form_expectation
FS0009,100,0.70,1,7,high,0.2000,0.05,0.665000,350.000000,120.012587,229.987413,0.657107,70.000000,24.002517,54.180000,18.577948,0.774000,uniform_ota_closed_form_expectation
FS0010,100,0.70,1,14,low,0.0100,0.00,0.700000,700.000000,212.912326,487.087674,0.695840,7.000000,2.129123,5.418000,1.647941,0.774000,uniform_ota_closed_form_expectation
FS0011,100,0.70,1,14,low,0.0100,0.01,0.693000,700.000000,217.783203,482.216797,0.688881,7.000000,2.177832,5.418000,1.685642,0.774000,uniform_ota_closed_form_expectation
FS0012,100,0.70,1,14,low,0.0100,0.05,0.665000,700.000000,237.266710,462.733290,0.661048,7.000000,2.372667,5.418000,1.836444,0.774000,uniform_ota_closed_form_expectation
FS0013,100,0.70,1,14,medium,0.0500,0.00,0.700000,700.000000,212.912326,487.087674,0.695840,35.000000,10.645616,27.090000,8.239707,0.774000,uniform_ota_closed_form_expectation
FS0014,100,0.70,1,14,medium,0.0500,0.01,0.693000,700.000000,217.783203,482.216797,0.688881,35.000000,10.889160,27.090000,8.428210,0.774000,uniform_ota_closed_form_expectation
FS0015,100,0.70,1,14,medium,0.0500,0.05,0.665000,700.000000,237.266710,462.733290,0.661048,35.000000,11.863336,27.090000,9.182222,0.774000,uniform_ota_closed_form_expectation
FS0016,100,0.70,1,14,high,0.2000,0.00,0.700000,700.000000,212.912326,487.087674,0.695840,140.000000,42.582465,108.360000,32.958828,0.774000,uniform_ota_closed_form_expectation
FS0017,100,0.70,1,14,high,0.2000,0.01,0.693000,700.000000,217.783203,482.216797,0.688881,140.000000,43.556641,108.360000,33.712840,0.774000,uniform_ota_closed_form_expectation
FS0018,100,0.70,1,14,high,0.2000,0.05,0.665000,700.000000,237.266710,462.733290,0.661048,140.000000,47.453342,108.360000,36.728887,0.774000,uniform_ota_closed_form_expectation
FS0019,100,0.70,1,30,low,0.0100,0.00,0.700000,1500.000000,452.914641,1047.085359,0.698057,15.000000,4.529146,11.610000,3.505559,0.774000,uniform_ota_closed_form_expectation
FS0020,100,0.70,1,30,low,0.0100,0.01,0.693000,1500.000000,463.385495,1036.614505,0.691076,15.000000,4.633855,11.610000,3.586604,0.774000,uniform_ota_closed_form_expectation
FS0021,100,0.70,1,30,low,0.0100,0.05,0.665000,1500.000000,505.268909,994.731091,0.663154,15.000000,5.052689,11.610000,3.910781,0.774000,uniform_ota_closed_form_expectation
FS0022,100,0.70,1,30,medium,0.0500,0.00,0.700000,1500.000000,452.914641,1047.085359,0.698057,75.000000,22.645732,58.050000,17.527797,0.774000,uniform_ota_closed_form_expectation
FS0023,100,0.70,1,30,medium,0.0500,0.01,0.693000,1500.000000,463.385495,1036.614505,0.691076,75.000000,23.169275,58.050000,17.933019,0.774000,uniform_ota_closed_form_expectation
FS0024,100,0.70,1,30,medium,0.0500,0.05,0.665000,1500.000000,505.268909,994.731091,0.663154,75.000000,25.263445,58.050000,19.553907,0.774000,uniform_ota_closed_form_expectation
FS0025,100,0.70,1,30,high,0.2000,0.00,0.700000,1500.000000,452.914641,1047.085359,0.698057,300.000000,90.582928,232.200000,70.111186,0.774000,uniform_ota_closed_form_expectation
FS0026,100,0.70,1,30,high,0.2000,0.01,0.693000,1500.000000,463.385495,1036.614505,0.691076,300.000000,92.677099,232.200000,71.732075,0.774000,uniform_ota_closed_form_expectation
FS0027,100,0.70,1,30,high,0.2000,0.05,0.665000,1500.000000,505.268909,994.731091,0.663154,300.000000,101.053782,232.200000,78.215627,0.774000,uniform_ota_closed_form_expectation
FS0028,100,0.70,1,60,low,0.0100,0.00,0.700000,3000.000000,902.915654,2097.084346,0.699028,30.000000,9.029157,23.220000,6.988567,0.774000,uniform_ota_closed_form_expectation
FS0029,100,0.70,1,60,low,0.0100,0.01,0.693000,3000.000000,923.886497,2076.113503,0.692038,30.000000,9.238865,23.220000,7.150881,0.774000,uniform_ota_closed_form_expectation
FS0030,100,0.70,1,60,low,0.0100,0.05,0.665000,3000.000000,1007.769871,1992.230129,0.664077,30.000000,10.077699,23.220000,7.800139,0.774000,uniform_ota_closed_form_expectation
FS0031,100,0.70,1,60,medium,0.0500,0.00,0.700000,3000.000000,902.915654,2097.084346,0.699028,150.000000,45.145783,116.100000,34.942836,0.774000,uniform_ota_closed_form_expectation
FS0032,100,0.70,1,60,medium,0.0500,0.01,0.693000,3000.000000,923.886497,2076.113503,0.692038,150.000000,46.194325,116.100000,35.754407,0.774000,uniform_ota_closed_form_expectation
FS0033,100,0.70,1,60,medium,0.0500,0.05,0.665000,3000.000000,1007.769871,1992.230129,0.664077,150.000000,50.388494,116.100000,39.000694,0.774000,uniform_ota_closed_form_expectation
FS0034,100,0.70,1,60,high,0.2000,0.00,0.700000,3000.000000,902.915654,2097.084346,0.699028,600.000000,180.583131,464.400000,139.771343,0.774000,uniform_ota_closed_form_expectation
FS0035,100,0.70,1,60,high,0.2000,0.01,0.693000,3000.000000,923.886497,2076.113503,0.692038,600.000000,184.777299,464.400000,143.017630,0.774000,uniform_ota_closed_form_expectation
FS0036,100,0.70,1,60,high,0.2000,0.05,0.665000,3000.000000,1007.769871,1992.230129,0.664077,600.000000,201.553974,464.400000,156.002776,0.774000,uniform_ota_closed_form_expectation
FS0037,100,0.70,6,7,low,0.0100,0.00,0.700000,350.000000,122.187500,227.812500,0.650893,3.500000,1.221875,2.709000,0.945731,0.774000,uniform_ota_closed_form_expectation
FS0038,100,0.70,6,7,low,0.0100,0.01,0.693000,350.000000,124.465625,225.534375,0.644384,3.500000,1.244656,2.709000,0.963364,0.774000,uniform_ota_closed_form_expectation
FS0039,100,0.70,6,7,low,0.0100,0.05,0.665000,350.000000,133.578125,216.421875,0.618348,3.500000,1.335781,2.709000,1.033895,0.774000,uniform_ota_closed_form_expectation
FS0040,100,0.70,6,7,medium,0.0500,0.00,0.700000,350.000000,122.187500,227.812500,0.650893,17.500000,6.109375,13.545000,4.728656,0.774000,uniform_ota_closed_form_expectation
FS0041,100,0.70,6,7,medium,0.0500,0.01,0.693000,350.000000,124.465625,225.534375,0.644384,17.500000,6.223281,13.545000,4.816820,0.774000,uniform_ota_closed_form_expectation
FS0042,100,0.70,6,7,medium,0.0500,0.05,0.665000,350.000000,133.578125,216.421875,0.618348,17.500000,6.678906,13.545000,5.169473,0.774000,uniform_ota_closed_form_expectation
FS0043,100,0.70,6,7,high,0.2000,0.00,0.700000,350.000000,122.187500,227.812500,0.650893,70.000000,24.437500,54.180000,18.914625,0.774000,uniform_ota_closed_form_expectation
FS0044,100,0.70,6,7,high,0.2000,0.01,0.693000,350.000000,124.465625,225.534375,0.644384,70.000000,24.893125,54.180000,19.267279,0.774000,uniform_ota_closed_form_expectation
FS0045,100,0.70,6,7,high,0.2000,0.05,0.665000,350.000000,133.578125,216.421875,0.618348,70.000000,26.715625,54.180000,20.677894,0.774000,uniform_ota_closed_form_expectation
FS0046,100,0.70,6,14,low,0.0100,0.00,0.700000,700.000000,227.343750,472.656250,0.675223,7.000000,2.273438,5.418000,1.759641,0.774000,uniform_ota_closed_form_expectation
FS0047,100,0.70,6,14,low,0.0100,0.01,0.693000,700.000000,232.070313,467.929687,0.668471,7.000000,2.320703,5.418000,1.796224,0.774000,uniform_ota_closed_form_expectation
FS0048,100,0.70,6,14,low,0.0100,0.05,0.665000,700.000000,250.976563,449.023437,0.641462,7.000000,2.509766,5.418000,1.942559,0.774000,uniform_ota_closed_form_expectation
FS0049,100,0.70,6,14,medium,0.0500,0.00,0.700000,700.000000,227.343750,472.656250,0.675223,35.000000,11.367188,27.090000,8.798203,0.774000,uniform_ota_closed_form_expectation
FS0050,100,0.70,6,14,medium,0.0500,0.01,0.693000,700.000000,232.070313,467.929687,0.668471,35.000000,11.603516,27.090000,8.981121,0.774000,uniform_ota_closed_form_expectation
FS0051,100,0.70,6,14,medium,0.0500,0.05,0.665000,700.000000,250.976563,449.023437,0.641462,35.000000,12.548828,27.090000,9.712793,0.774000,uniform_ota_closed_form_expectation
FS0052,100,0.70,6,14,high,0.2000,0.00,0.700000,700.000000,227.343750,472.656250,0.675223,140.000000,45.468750,108.360000,35.192813,0.774000,uniform_ota_closed_form_expectation
FS0053,100,0.70,6,14,high,0.2000,0.01,0.693000,700.000000,232.070313,467.929687,0.668471,140.000000,46.414063,108.360000,35.924484,0.774000,uniform_ota_closed_form_expectation
FS0054,100,0.70,6,14,high,0.2000,0.05,0.665000,700.000000,250.976563,449.023437,0.641462,140.000000,50.195313,108.360000,38.851172,0.774000,uniform_ota_closed_form_expectation
FS0055,100,0.70,6,30,low,0.0100,0.00,0.700000,1500.000000,467.427083,1032.572917,0.688382,15.000000,4.674271,11.610000,3.617886,0.774000,uniform_ota_closed_form_expectation
FS0056,100,0.70,6,30,low,0.0100,0.01,0.693000,1500.000000,477.752813,1022.247187,0.681498,15.000000,4.777528,11.610000,3.697807,0.774000,uniform_ota_closed_form_expectation
FS0057,100,0.70,6,30,low,0.0100,0.05,0.665000,1500.000000,519.055729,980.944271,0.653963,15.000000,5.190557,11.610000,4.017491,0.774000,uniform_ota_closed_form_expectation
FS0058,100,0.70,6,30,medium,0.0500,0.00,0.700000,1500.000000,467.427083,1032.572917,0.688382,75.000000,23.371354,58.050000,18.089428,0.774000,uniform_ota_closed_form_expectation
FS0059,100,0.70,6,30,medium,0.0500,0.01,0.693000,1500.000000,477.752813,1022.247187,0.681498,75.000000,23.887641,58.050000,18.489034,0.774000,uniform_ota_closed_form_expectation
FS0060,100,0.70,6,30,medium,0.0500,0.05,0.665000,1500.000000,519.055729,980.944271,0.653963,75.000000,25.952786,58.050000,20.087457,0.774000,uniform_ota_closed_form_expectation
FS0061,100,0.70,6,30,high,0.2000,0.00,0.700000,1500.000000,467.427083,1032.572917,0.688382,300.000000,93.485417,232.200000,72.357713,0.774000,uniform_ota_closed_form_expectation
FS0062,100,0.70,6,30,high,0.2000,0.01,0.693000,1500.000000,477.752813,1022.247187,0.681498,300.000000,95.550563,232.200000,73.956135,0.774000,uniform_ota_closed_form_expectation
FS0063,100,0.70,6,30,high,0.2000,0.05,0.665000,1500.000000,519.055729,980.944271,0.653963,300.000000,103.811146,232.200000,80.349827,0.774000,uniform_ota_closed_form_expectation
FS0064,100,0.70,6,60,low,0.0100,0.00,0.700000,3000.000000,917.463542,2082.536458,0.694179,30.000000,9.174635,23.220000,7.101168,0.774000,uniform_ota_closed_form_expectation
FS0065,100,0.70,6,60,low,0.0100,0.01,0.693000,3000.000000,938.288906,2061.711094,0.687237,30.000000,9.382889,23.220000,7.262356,0.774000,uniform_ota_closed_form_expectation
FS0066,100,0.70,6,60,low,0.0100,0.05,0.665000,3000.000000,1021.590365,1978.409635,0.659470,30.000000,10.215904,23.220000,7.907109,0.774000,uniform_ota_closed_form_expectation
FS0067,100,0.70,6,60,medium,0.0500,0.00,0.700000,3000.000000,917.463542,2082.536458,0.694179,150.000000,45.873177,116.100000,35.505839,0.774000,uniform_ota_closed_form_expectation
FS0068,100,0.70,6,60,medium,0.0500,0.01,0.693000,3000.000000,938.288906,2061.711094,0.687237,150.000000,46.914445,116.100000,36.311781,0.774000,uniform_ota_closed_form_expectation
FS0069,100,0.70,6,60,medium,0.0500,0.05,0.665000,3000.000000,1021.590365,1978.409635,0.659470,150.000000,51.079518,116.100000,39.535547,0.774000,uniform_ota_closed_form_expectation
FS0070,100,0.70,6,60,high,0.2000,0.00,0.700000,3000.000000,917.463542,2082.536458,0.694179,600.000000,183.492708,464.400000,142.023356,0.774000,uniform_ota_closed_form_expectation
FS0071,100,0.70,6,60,high,0.2000,0.01,0.693000,3000.000000,938.288906,2061.711094,0.687237,600.000000,187.657781,464.400000,145.247123,0.774000,uniform_ota_closed_form_expectation
FS0072,100,0.70,6,60,high,0.2000,0.05,0.665000,3000.000000,1021.590365,1978.409635,0.659470,600.000000,204.318073,464.400000,158.142188,0.774000,uniform_ota_closed_form_expectation
FS0073,100,0.70,24,7,low,0.0100,0.00,0.700000,350.000000,170.000000,180.000000,0.514286,3.500000,1.700000,2.709000,1.315800,0.774000,uniform_ota_closed_form_expectation
FS0074,100,0.70,24,7,low,0.0100,0.01,0.693000,350.000000,171.800000,178.200000,0.509143,3.500000,1.718000,2.709000,1.329732,0.774000,uniform_ota_closed_form_expectation
FS0075,100,0.70,24,7,low,0.0100,0.05,0.665000,350.000000,179.000000,171.000000,0.488571,3.500000,1.790000,2.709000,1.385460,0.774000,uniform_ota_closed_form_expectation
FS0076,100,0.70,24,7,medium,0.0500,0.00,0.700000,350.000000,170.000000,180.000000,0.514286,17.500000,8.500000,13.545000,6.579000,0.774000,uniform_ota_closed_form_expectation
FS0077,100,0.70,24,7,medium,0.0500,0.01,0.693000,350.000000,171.800000,178.200000,0.509143,17.500000,8.590000,13.545000,6.648660,0.774000,uniform_ota_closed_form_expectation
FS0078,100,0.70,24,7,medium,0.0500,0.05,0.665000,350.000000,179.000000,171.000000,0.488571,17.500000,8.950000,13.545000,6.927300,0.774000,uniform_ota_closed_form_expectation
FS0079,100,0.70,24,7,high,0.2000,0.00,0.700000,350.000000,170.000000,180.000000,0.514286,70.000000,34.000000,54.180000,26.316000,0.774000,uniform_ota_closed_form_expectation
FS0080,100,0.70,24,7,high,0.2000,0.01,0.693000,350.000000,171.800000,178.200000,0.509143,70.000000,34.360000,54.180000,26.594640,0.774000,uniform_ota_closed_form_expectation
FS0081,100,0.70,24,7,high,0.2000,0.05,0.665000,350.000000,179.000000,171.000000,0.488571,70.000000,35.800000,54.180000,27.709200,0.774000,uniform_ota_closed_form_expectation
FS0082,100,0.70,24,14,low,0.0100,0.00,0.700000,700.000000,277.500000,422.500000,0.603571,7.000000,2.775000,5.418000,2.147850,0.774000,uniform_ota_closed_form_expectation
FS0083,100,0.70,24,14,low,0.0100,0.01,0.693000,700.000000,281.725000,418.275000,0.597536,7.000000,2.817250,5.418000,2.180552,0.774000,uniform_ota_closed_form_expectation
FS0084,100,0.70,24,14,low,0.0100,0.05,0.665000,700.000000,298.625000,401.375000,0.573393,7.000000,2.986250,5.418000,2.311358,0.774000,uniform_ota_closed_form_expectation
FS0085,100,0.70,24,14,medium,0.0500,0.00,0.700000,700.000000,277.500000,422.500000,0.603571,35.000000,13.875000,27.090000,10.739250,0.774000,uniform_ota_closed_form_expectation
FS0086,100,0.70,24,14,medium,0.0500,0.01,0.693000,700.000000,281.725000,418.275000,0.597536,35.000000,14.086250,27.090000,10.902758,0.774000,uniform_ota_closed_form_expectation
FS0087,100,0.70,24,14,medium,0.0500,0.05,0.665000,700.000000,298.625000,401.375000,0.573393,35.000000,14.931250,27.090000,11.556788,0.774000,uniform_ota_closed_form_expectation
FS0088,100,0.70,24,14,high,0.2000,0.00,0.700000,700.000000,277.500000,422.500000,0.603571,140.000000,55.500000,108.360000,42.957000,0.774000,uniform_ota_closed_form_expectation
FS0089,100,0.70,24,14,high,0.2000,0.01,0.693000,700.000000,281.725000,418.275000,0.597536,140.000000,56.345000,108.360000,43.611030,0.774000,uniform_ota_closed_form_expectation
FS0090,100,0.70,24,14,high,0.2000,0.05,0.665000,700.000000,298.625000,401.375000,0.573393,140.000000,59.725000,108.360000,46.227150,0.774000,uniform_ota_closed_form_expectation
